Date,Open,High,Low,Close,Adj Close,Volume
2018-08-10,76000.000000,76299.703125,74100.000000,74233.953125,73832.179688,13065
2018-08-13,74489.898438,74489.898438,73150.000000,73253.953125,72857.500000,15760
2018-08-14,73503.953125,74300.000000,73400.000000,73819.796875,73420.289063,12251
2018-08-16,73850.000000,74199.898438,73100.000000,73164.703125,72768.734375,7142
2018-08-17,73200.000000,73900.000000,73141.000000,73747.750000,73348.609375,7752
2018-08-20,73999.000000,75089.703125,73500.000000,74761.898438,74357.289063,15186
2018-08-21,75111.000000,75250.000000,74256.703125,74498.953125,74095.757813,11543
2018-08-23,74500.000000,74800.000000,74100.000000,74573.500000,74169.906250,4828
2018-08-24,74500.000000,75052.648438,73800.000000,74075.898438,73674.984375,2937
2018-08-27,74300.000000,74500.000000,74000.000000,74171.898438,73770.468750,2216
2018-08-28,74649.000000,74649.000000,73202.851563,73316.898438,72920.117188,4230
2018-08-29,73640.000000,73640.000000,73200.000000,73286.398438,72889.757813,3222
2018-08-30,73753.898438,74153.953125,73001.000000,73218.796875,72822.515625,5919
2018-08-31,73250.000000,74300.000000,73000.000000,74026.750000,73626.125000,4913
2018-09-03,73777.000000,74169.953125,73000.000000,73038.898438,72643.593750,3917
2018-09-04,73300.000000,73600.000000,70850.000000,71028.898438,70644.476563,8961
2018-09-05,71299.000000,71299.000000,70001.000000,70352.296875,69971.546875,7748
2018-09-06,70799.898438,70984.296875,70100.000000,70830.546875,70447.195313,4867
2018-09-07,70881.000000,72000.000000,70632.046875,71251.953125,70866.351563,4849
2018-09-10,71501.000000,71550.046875,70450.000000,70506.500000,70124.914063,4334
2018-09-11,70506.500000,71099.953125,69600.000000,69769.546875,69391.953125,3404
2018-09-12,69860.000000,69958.953125,68201.101563,69143.351563,68769.140625,8913
2018-09-14,69500.000000,70712.898438,69500.000000,70244.296875,69864.117188,6967
2018-09-17,70200.000000,70200.000000,69650.101563,69782.296875,69404.640625,2670
2018-09-18,69782.296875,70119.000000,68500.851563,68731.351563,68359.367188,4569
2018-09-19,69095.000000,69249.953125,67390.000000,67783.398438,67416.546875,11985
2018-09-21,68195.000000,68500.000000,62500.000000,66744.398438,66383.171875,10416
2018-09-24,67000.000000,67000.046875,64450.000000,64568.000000,64218.546875,7655
2018-09-25,64677.000000,67100.000000,63125.000000,65780.648438,65424.617188,17921
2018-09-26,66988.000000,66988.000000,65800.000000,66318.546875,65959.625000,4318
2018-09-27,67015.000000,68200.000000,63950.050781,64202.851563,63855.375000,12368
2018-09-28,64500.000000,65737.398438,62300.000000,63598.550781,63254.343750,11536
2018-10-01,64100.000000,64100.000000,62150.000000,63025.648438,62684.550781,12283
2018-10-03,63077.000000,63654.000000,62555.050781,63138.800781,62797.089844,10722
2018-10-04,62699.949219,62699.949219,61400.000000,61603.800781,61270.394531,13688
2018-10-05,61400.000000,61400.000000,60501.000000,61022.199219,60691.933594,9200
2018-10-08,60711.000000,61751.000000,59601.000000,61120.898438,60790.105469,12830
2018-10-09,61899.000000,62700.000000,60660.000000,61997.300781,61661.769531,4980
2018-10-10,61521.000000,64300.000000,61521.000000,63979.601563,63633.339844,6132
2018-10-11,62990.000000,64269.648438,61709.050781,63427.500000,63084.218750,6805
2018-10-12,63620.000000,64959.949219,63620.000000,63978.351563,63632.097656,11121
2018-10-15,63625.199219,64579.851563,62000.000000,62600.601563,62261.800781,12243
2018-10-16,62991.851563,63980.000000,62862.148438,63212.949219,62870.835938,6090
2018-10-17,63750.000000,64263.750000,61900.000000,62101.851563,61765.742188,6380
2018-10-19,61965.000000,62690.000000,60900.000000,61967.851563,61632.472656,7567
2018-10-22,62749.949219,62749.949219,61999.000000,62206.949219,61870.277344,4196
2018-10-23,61600.000000,62177.000000,61301.000000,61723.648438,61389.597656,5082
2018-10-24,62440.000000,62700.000000,61805.148438,62350.000000,62012.550781,3986
2018-10-25,62000.000000,62480.000000,60800.000000,61362.500000,61030.394531,7477
2018-10-26,61300.000000,63421.500000,60666.000000,63056.148438,62714.878906,10200
2018-10-29,63200.000000,64350.000000,62525.000000,63932.250000,63586.242188,5004
2018-10-30,63402.199219,64900.000000,63402.199219,64309.148438,63961.101563,6896
2018-10-31,64342.000000,64900.000000,63684.000000,64498.550781,64149.484375,4183
2018-11-01,64498.550781,65350.000000,64498.050781,64742.050781,64391.660156,4418
2018-11-02,65050.000000,66676.546875,65012.398438,66480.796875,66120.992188,6742
2018-11-05,66700.000000,66800.000000,65910.000000,66153.796875,65795.757813,3810
2018-11-06,66200.000000,66607.398438,64900.000000,65160.699219,64808.042969,4248
2018-11-07,65670.000000,65933.148438,65177.000000,65564.953125,65210.101563,1058
2018-11-09,65050.101563,66502.000000,64513.148438,66345.101563,65986.031250,10673
2018-11-12,66345.000000,66985.046875,65060.500000,65203.148438,64850.257813,4542
2018-11-13,65203.148438,66190.000000,64802.050781,65822.148438,65465.917969,4985
2018-11-14,66100.000000,66740.000000,65240.000000,65545.953125,65191.210938,8200
2018-11-15,65999.000000,66333.000000,65200.000000,65784.851563,65428.804688,7974
2018-11-16,65900.000000,66800.000000,65588.453125,65754.953125,65399.074219,5438
2018-11-19,65770.000000,66400.000000,65501.000000,66190.296875,65835.070313,3936
2018-11-20,66200.000000,66330.000000,65713.203125,66024.453125,65670.117188,3325
2018-11-21,66251.000000,67568.000000,66110.000000,67324.203125,66962.882813,8262
2018-11-22,67400.000000,68169.953125,67202.000000,67607.398438,67244.570313,6407
2018-11-26,68000.000000,68710.000000,67607.453125,68198.750000,67832.742188,10287
2018-11-27,67866.203125,68680.000000,67400.046875,68575.250000,68207.226563,6030
2018-11-28,68501.000000,69340.000000,68360.750000,68792.250000,68423.062500,6588
2018-11-29,69002.000000,69150.000000,68011.000000,68289.898438,67923.398438,7575
2018-11-30,68400.000000,68678.546875,67150.898438,67332.046875,66970.679688,5175
2018-12-03,67500.000000,67949.000000,66608.000000,66692.851563,66334.929688,5041
2018-12-04,66800.000000,67137.703125,65931.953125,66128.750000,65773.835938,2992
2018-12-05,66000.000000,66196.648438,65136.000000,65284.000000,64933.640625,3690
2018-12-06,65299.000000,65312.050781,64445.050781,64764.800781,64417.226563,2960
2018-12-07,65269.000000,65700.000000,64864.050781,65574.851563,65222.925781,3550
2018-12-10,64100.050781,64895.449219,64100.050781,64364.601563,64019.167969,3289
2018-12-11,63666.000000,66500.000000,63666.000000,66171.703125,65816.570313,7236
2018-12-12,66272.000000,68490.000000,66222.000000,68146.546875,67780.820313,6981
2018-12-13,68280.000000,68899.000000,67102.703125,67463.546875,67101.500000,5719
2018-12-14,67299.000000,67500.000000,66050.000000,66335.046875,65979.046875,5721
2018-12-17,66415.000000,67200.000000,66222.000000,66375.148438,66018.929688,3561
2018-12-18,66477.000000,67998.953125,66100.046875,67561.500000,67198.906250,4752
2018-12-19,68000.000000,69500.000000,67749.398438,69326.953125,68954.898438,10484
2018-12-20,68750.000000,69900.000000,68750.000000,69049.703125,68679.117188,10183
2018-12-21,69049.703125,69561.000000,66700.000000,67003.851563,66644.250000,9352
2018-12-24,67003.953125,67347.000000,65897.000000,66117.648438,65762.796875,5788
2018-12-26,66200.000000,67503.000000,65105.250000,67319.648438,66958.359375,9920
2018-12-27,67398.898438,67699.000000,66526.000000,66686.351563,66328.460938,8775
2018-12-28,67279.000000,67475.000000,66980.000000,67036.953125,66677.171875,4257
2018-12-31,67550.000000,67550.000000,66812.398438,66984.703125,66625.226563,5943
2019-01-01,67299.000000,67299.000000,66500.351563,66801.203125,66442.710938,4193
2019-01-02,66500.000000,67100.000000,66150.703125,66635.500000,66277.882813,7531
2019-01-03,66750.000000,67400.000000,66458.703125,66818.250000,66459.640625,4603
2019-01-04,66999.703125,67349.898438,66201.046875,66603.148438,66245.703125,4278
2019-01-07,67100.000000,67345.898438,66666.148438,66978.546875,66619.101563,6823
2019-01-08,66700.000000,66976.000000,66226.000000,66439.898438,66083.328125,2284
2019-01-09,66501.000000,66999.000000,65820.453125,66070.351563,65715.765625,4369
2019-01-10,66249.000000,67094.953125,65909.000000,66700.703125,66342.726563,4018
2019-01-11,66898.898438,67000.000000,66300.000000,66937.250000,66578.015625,2580
2019-01-14,66600.000000,66996.953125,65955.898438,66653.046875,66295.343750,5052
2019-01-15,66650.000000,66989.953125,66077.000000,66195.601563,65840.343750,3863
2019-01-16,66220.000000,66485.703125,65900.000000,65991.203125,65637.039063,3514
2019-01-17,66291.000000,66291.000000,65600.000000,65802.796875,65449.652344,3530
2019-01-18,66005.000000,66098.203125,65650.000000,65739.796875,65386.988281,1613
2019-01-21,65739.796875,66298.953125,65501.000000,66126.101563,65771.203125,8009
2019-01-22,65900.000000,66166.851563,65100.000000,65259.601563,64909.363281,4697
2019-01-23,65378.000000,66289.953125,65300.000000,66072.046875,65717.460938,3086
2019-01-24,66000.000000,66188.398438,64500.000000,64902.750000,64554.429688,4134
2019-01-25,65300.000000,65533.300781,63700.000000,63920.949219,63577.898438,3105
2019-01-28,63875.000000,63875.000000,62450.000000,62559.949219,62224.203125,4488
2019-01-29,62830.000000,62830.000000,61500.000000,61868.148438,61536.109375,8712
2019-01-30,62384.000000,62384.000000,61150.000000,61329.398438,61000.261719,6589
2019-01-31,61500.000000,61767.601563,60540.148438,61289.199219,60960.269531,7598
2019-02-01,61489.199219,62699.898438,61012.101563,61275.699219,60946.847656,7551
2019-02-04,61944.000000,61944.000000,59800.000000,59906.550781,59585.042969,7858
2019-02-05,60299.000000,60400.000000,59500.000000,60004.300781,59682.265625,6603
2019-02-06,60300.000000,60300.000000,59550.000000,59936.000000,59614.339844,5305
2019-02-07,60035.000000,60800.000000,58960.050781,59410.550781,59091.707031,22636
2019-02-08,59188.949219,59188.949219,56300.000000,56451.351563,56148.394531,24277
2019-02-11,56450.000000,56900.000000,54725.000000,55345.601563,55048.578125,14323
2019-02-12,55750.000000,56178.000000,54900.000000,55355.398438,55058.312500,10994
2019-02-14,55600.000000,56600.000000,55315.000000,56302.199219,56000.035156,8943
2019-02-15,56302.000000,56408.300781,55000.000000,55136.851563,54843.867188,12188
2019-02-18,55248.000000,55499.000000,54254.199219,54460.148438,54170.761719,5980
2019-02-19,54480.148438,55403.949219,53858.351563,54227.898438,53939.746094,10536
2019-02-20,54529.898438,54970.000000,54125.000000,54793.199219,54502.042969,6031
2019-02-21,54829.000000,55250.000000,54505.000000,54710.648438,54419.925781,3891
2019-02-22,54720.000000,55150.000000,54553.500000,54960.800781,54668.753906,4411
2019-02-25,55468.000000,55468.000000,54855.000000,55340.148438,55046.085938,4311
2019-02-26,55140.148438,56387.101563,54400.000000,55952.898438,55655.578125,5776
2019-02-27,56400.000000,57266.000000,56152.898438,56862.750000,56560.593750,11007
2019-02-28,57390.000000,57400.000000,56572.000000,56839.550781,56537.519531,12341
2019-03-01,56907.000000,57400.000000,56907.000000,57129.101563,56825.527344,4094
2019-03-05,57397.000000,58000.000000,57218.500000,57663.250000,57356.839844,8410
2019-03-06,58040.000000,58790.000000,57555.000000,58566.398438,58255.183594,7261
2019-03-07,58570.000000,58594.851563,57645.101563,57839.750000,57532.402344,4062
2019-03-08,58000.000000,58000.000000,56830.000000,57026.601563,56723.570313,6779
2019-03-11,57040.000000,57980.148438,57040.000000,57708.300781,57401.652344,5144
2019-03-12,58100.000000,58253.648438,56801.000000,57171.000000,56867.203125,13277
2019-03-13,57800.000000,58000.000000,57200.000000,57414.601563,57109.511719,8933
2019-03-14,57990.000000,57990.000000,57001.000000,57161.449219,56857.707031,10389
2019-03-15,57200.000000,58000.000000,56911.000000,57609.500000,57303.375000,8692
2019-03-18,57998.000000,57998.000000,57244.000000,57433.750000,57128.562500,5722
2019-03-19,57688.949219,57688.949219,57020.000000,57444.250000,57139.003906,2978
2019-03-20,57400.000000,57400.000000,56800.000000,56976.601563,56673.843750,4821
